TITLE="5runs_phase_avg_adim_subtracted_mean" 
Variables="x/c","y/c","z/c","u'/Udeb","v'/Udeb","w'/Udeb"
ZONE T="10", I=289, J=214, SOLUTIONTIME=0.200000
0.9535637200000001 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.960232 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.96690028 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.9735686 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.9802368 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.9869052 -1.6506399999999999 0.7 0.0 -0.0 0.0
0.9935734 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.0002416 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.00691 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.0135782 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.0202464 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.0269148 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.033583 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.0402514 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.0469196 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.0535878 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.0602562 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.0669244 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.0735926 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.080261 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.0869292 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.0935976 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.1002658 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.1069339999999999 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.1136024 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.1202706 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.1269388 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.1336072 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.1402754 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.1469437999999998 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.1536119999999999 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.16028 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.166948 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.173616 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.1802860000000002 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.186954 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.193622 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.2002899999999999 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.206958 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.213626 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.220294 -1.6506399999999999 0.7 0.0 -0.0 -0.0
1.2269640000000002 -1.6506399999999999 0.7 0.0 -0.0 -0.0
1.233632 -1.6506399999999999 0.7 0.0 -0.0 -0.0
1.2403 -1.6506399999999999 0.7 0.0 -0.0 -0.0
1.2469679999999999 -1.6506399999999999 0.7 0.0 -0.0 -0.0
1.253636 -1.6506399999999999 0.7 0.0 -0.0 -0.0
1.260304 -1.6506399999999999 0.7 0.0 -0.0 -0.0
1.266972 -1.6506399999999999 0.7 0.0 -0.0 -0.0
1.27364 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.28031 -1.6506399999999999 0.7 0.0 -0.0 -0.0
1.286978 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.2936459999999999 -1.6506399999999999 0.7 0.0 -0.0 -0.0
1.3003140000000002 -1.6506399999999999 0.7 0.0 -0.0 -0.0
1.306982 -1.6506399999999999 0.7 0.0 -0.0 -0.0
1.31365 -1.6506399999999999 0.7 0.0 -0.0 -0.0
1.320318 -1.6506399999999999 0.7 0.0 -0.0 -0.0
1.326988 -1.6506399999999999 0.7 0.0 -0.0 -0.0
1.333656 -1.6506399999999999 0.7 0.0 -0.0 -0.0
1.3403239999999998 -1.6506399999999999 0.7 0.0 -0.0 -0.0
1.3469920000000002 -1.6506399999999999 0.7 0.0 -0.0 -0.0
1.35366 -1.6506399999999999 0.7 0.0 -0.0 -0.0
